Sample ID	Tissue	Age	Sex
GTEX-111CU-1126-SM-5EGIM	Skin - Not Sun Exposed (Suprapubic)	50-59	M
GTEX-111CU-1226-SM-5EGIN	Colon - Sigmoid	50-59	M
GTEX-111CU-1326-SM-5NQ8L	Small Intestine - Terminal Ileum	50-59	M
GTEX-111CU-1426-SM-5GZYP	Colon - Transverse	50-59	M
GTEX-111CU-1526-SM-5N9FS	Prostate	50-59	M
GTEX-111CU-1726-SM-5EGHM	Testis	50-59	M
GTEX-111CU-1826-SM-5GZYN	Adipose - Subcutaneous	50-59	M
GTEX-111CU-1926-SM-5GZYZ	Skin - Sun Exposed (Lower leg)	50-59	M
GTEX-111CU-2026-SM-5GZZC	Muscle - Skeletal	50-59	M
GTEX-111CU-2226-SM-5N9G5	Nerve - Tibial	50-59	M
GTEX-111FC-0001-SM-58Q7U	Whole Blood	60-69	M
GTEX-111FC-0001-SM-5DWSO	Whole Blood	60-69	M
GTEX-111FC-0126-SM-5N9DL	Skin - Sun Exposed (Lower leg)	60-69	M
GTEX-111FC-0226-SM-5N9B8	Adipose - Subcutaneous	60-69	M
GTEX-111FC-0326-SM-5GZZ1	Muscle - Skeletal	60-69	M
GTEX-111FC-0426-SM-5N9CV	Artery - Tibial	60-69	M
GTEX-111FC-0526-SM-5GZZ8	Nerve - Tibial	60-69	M
GTEX-111FC-0626-SM-5N9CU	Heart - Atrial Appendage	60-69	M
GTEX-111FC-0826-SM-5GZWO	Heart - Left Ventricle	60-69	M
GTEX-111FC-1026-SM-5GZX1	Thyroid	60-69	M
GTEX-111FC-1126-SM-5GZWU	Lung	60-69	M
GTEX-111FC-1326-SM-5N9D9	Spleen	60-69	M
GTEX-111FC-1426-SM-5N9C7	Adipose - Subcutaneous	60-69	M
GTEX-111FC-1926-SM-5GZYC	Testis	60-69	M
GTEX-111FC-2026-SM-5GZYO	Prostate	60-69	M
GTEX-111FC-2526-SM-5GZXU	Skin - Not Sun Exposed (Suprapubic)	60-69	M
GTEX-111FC-2926-SM-5GZY7	Minor Salivary Gland	60-69	M
GTEX-111FC-3026-SM-5GZYJ	Pituitary	60-69	M
GTEX-111FC-3126-SM-5GZZ2	Brain - Cortex	60-69	M
GTEX-111FC-3326-SM-5GZYV	Brain - Cerebellum	60-69	M
GTEX-111VG-0004-SM-58Q85	Whole Blood	60-69	M
GTEX-111VG-0004-SM-5DWSX	Whole Blood	60-69	M
GTEX-111VG-0008-SM-5Q5BG	Cells - Transformed fibroblasts	60-69	M
GTEX-111VG-0326-SM-5GZX7	Heart - Atrial Appendage	60-69	M
GTEX-111VG-0526-SM-5N9BW	Thyroid	60-69	M
GTEX-111VG-0726-SM-5GIDC	Lung	60-69	M
GTEX-111VG-1626-SM-5EGIO	Skin - Not Sun Exposed (Suprapubic)	60-69	M
GTEX-111VG-1926-SM-5GIDO	Testis	60-69	M
GTEX-111VG-2226-SM-5N9DU	Colon - Transverse	60-69	M
GTEX-111VG-2326-SM-5N9BK	Adipose - Subcutaneous	60-69	M
GTEX-111VG-2426-SM-5GZXD	Skin - Sun Exposed (Lower leg)	60-69	M
GTEX-111VG-2526-SM-5GZXP	Nerve - Tibial	60-69	M
GTEX-111VG-2626-SM-5GZY2	Muscle - Skeletal	60-69	M
GTEX-111YS-0004-SM-58Q7Y	Whole Blood	60-69	M
GTEX-111YS-0004-SM-5DWSS	Whole Blood	60-69	M
GTEX-111YS-0006-SM-5NQBE	Whole Blood	60-69	M
GTEX-111YS-0008-SM-5Q5BH	Cells - Transformed fibroblasts	60-69	M
GTEX-111YS-0126-SM-5987T	Adrenal Gland	60-69	M
GTEX-111YS-0326-SM-5GZZ3	Heart - Atrial Appendage	60-69	M
GTEX-111YS-0426-SM-5987O	Heart - Left Ventricle	60-69	M
GTEX-111YS-0526-SM-5GZXJ	Artery - Aorta	60-69	M
GTEX-111YS-0626-SM-5GZXV	Lung	60-69	M
GTEX-111YS-0726-SM-5GZY8	Thyroid	60-69	M
GTEX-111YS-0826-SM-5GZYK	Esophagus - Gastroesophageal Junction	60-69	M
GTEX-111YS-0926-SM-5EGGI	Esophagus - Mucosa	60-69	M
GTEX-111YS-1026-SM-5GZYE	Esophagus - Muscularis	60-69	M
GTEX-111YS-1126-SM-5GZYQ	Stomach	60-69	M
GTEX-111YS-1226-SM-5EGGJ	Pancreas	60-69	M
GTEX-111YS-1326-SM-5EGGK	Adipose - Visceral (Omentum)	60-69	M
GTEX-111YS-1426-SM-5GID8	Small Intestine - Terminal Ileum	60-69	M
GTEX-111YS-1526-SM-5GZYW	Skin - Not Sun Exposed (Suprapubic)	60-69	M
GTEX-111YS-1626-SM-5GZZ9	Colon - Transverse	60-69	M
GTEX-111YS-1726-SM-5GIED	Prostate	60-69	M
GTEX-111YS-1826-SM-5GIEP	Colon - Sigmoid	60-69	M
GTEX-111YS-1926-SM-5GICC	Breast - Mammary Tissue	60-69	M
GTEX-111YS-2026-SM-5EGGL	Testis	60-69	M
GTEX-111YS-2126-SM-5EGGM	Nerve - Tibial	60-69	M
GTEX-111YS-2226-SM-5987P	Artery - Tibial	60-69	M
GTEX-111YS-2326-SM-5987L	Muscle - Skeletal	60-69	M
GTEX-111YS-2426-SM-5GZZQ	Adipose - Subcutaneous	60-69	M
GTEX-1122O-0003-SM-5Q5DL	Cells - EBV-transformed lymphocytes	60-69	F
GTEX-1122O-0004-SM-58Q7O	Whole Blood	60-69	F
GTEX-1122O-0004-SM-5DWSJ	Whole Blood	60-69	F
GTEX-1122O-0005-SM-5O99J	Whole Blood	60-69	F
GTEX-1122O-0008-SM-5QGR2	Cells - Transformed fibroblasts	60-69	F
GTEX-1122O-0126-SM-5GICA	Lung	60-69	F
GTEX-1122O-0226-SM-5N9DA	Thyroid	60-69	F
GTEX-1122O-0326-SM-5H124	Adrenal Gland	60-69	F
GTEX-1122O-0426-SM-5H12G	Artery - Coronary	60-69	F
GTEX-1122O-0526-SM-5N9DM	Spleen	60-69	F
GTEX-1122O-0626-SM-5N9B9	Heart - Atrial Appendage	60-69	F
GTEX-1122O-0726-SM-5GIEV	Pancreas	60-69	F
GTEX-1122O-0826-SM-5GICV	Heart - Left Ventricle	60-69	F
GTEX-1122O-0926-SM-5N9C9	Adipose - Visceral (Omentum)	60-69	F
GTEX-1122O-1126-SM-5NQ8X	Artery - Aorta	60-69	F
GTEX-1122O-1226-SM-5H113	Breast - Mammary Tissue	60-69	F
GTEX-1122O-1326-SM-5H11F	Small Intestine - Terminal Ileum	60-69	F
GTEX-1122O-1426-SM-5H11R	Colon - Sigmoid	60-69	F
GTEX-1122O-1526-SM-5N9CL	Colon - Transverse	60-69	F
GTEX-1122O-1626-SM-5N9CX	Esophagus - Muscularis	60-69	F
GTEX-1122O-1726-SM-5GICM	Esophagus - Mucosa	60-69	F
GTEX-1122O-1826-SM-5EGIP	Esophagus - Gastroesophageal Junction	60-69	F
GTEX-1122O-1926-SM-5EGIQ	Stomach	60-69	F
GTEX-1122O-2026-SM-5NQ91	Adipose - Subcutaneous	60-69	F
GTEX-1122O-2126-SM-5EGIR	Skin - Sun Exposed (Lower leg)	60-69	F
GTEX-1122O-2426-SM-5GIDN	Muscle - Skeletal	60-69	F
GTEX-1128S-0001-SM-58Q96	Whole Blood	60-69	F
GTEX-1128S-0001-SM-5DWTV	Whole Blood	60-69	F
GTEX-1128S-0005-SM-5P9HI	Whole Blood	60-69	F
GTEX-1128S-0008-SM-5Q5DP	Cells - Transformed fibroblasts	60-69	F
GTEX-1128S-0126-SM-5H12S	Thyroid	60-69	F
GTEX-1128S-0326-SM-5GZZF	Artery - Aorta	60-69	F
GTEX-1128S-0726-SM-5N9D6	Lung	60-69	F
GTEX-1128S-0826-SM-5GZZI	Pancreas	60-69	F
GTEX-1128S-0926-SM-5GZZU	Adipose - Visceral (Omentum)	60-69	F
GTEX-1128S-1626-SM-5H12O	Colon - Transverse	60-69	F
GTEX-1128S-2126-SM-5H12U	Adipose - Subcutaneous	60-69	F
GTEX-1128S-2326-SM-5GZZY	Skin - Sun Exposed (Lower leg)	60-69	F
GTEX-1128S-2426-SM-5H11B	Muscle - Skeletal	60-69	F
GTEX-1128S-2526-SM-5H11N	Artery - Tibial	60-69	F
GTEX-1128S-2626-SM-5H11Z	Pituitary	60-69	F
GTEX-1128S-2726-SM-5H12C	Brain - Cortex	60-69	F
GTEX-1128S-2826-SM-5N9DI	Brain - Cerebellum	60-69	F
GTEX-113IC-0001-SM-58Q97	Whole Blood	60-69	M
GTEX-113IC-0001-SM-5DWSI	Whole Blood	60-69	M
GTEX-113IC-0006-SM-5NQ9C	Whole Blood	60-69	M
GTEX-113IC-0008-SM-5QGRF	Cells - Transformed fibroblasts	60-69	M
GTEX-113IC-0126-SM-5HL6T	Skin - Sun Exposed (Lower leg)	60-69	M
GTEX-113IC-0226-SM-5HL5C	Adipose - Subcutaneous	60-69	M
GTEX-113IC-0426-SM-5HL5O	Artery - Tibial	60-69	M
GTEX-113IC-0526-SM-5HL76	Nerve - Tibial	60-69	M
GTEX-113JC-0001-SM-58Q7M	Whole Blood	50-59	F
GTEX-113JC-0001-SM-5DWSH	Whole Blood	50-59	F
GTEX-113JC-0006-SM-5O997	Whole Blood	50-59	F
GTEX-113JC-0008-SM-5QGR6	Cells - Transformed fibroblasts	50-59	F
GTEX-113JC-0126-SM-5EGJW	Thyroid	50-59	F
GTEX-113JC-0726-SM-5GZZR	Adipose - Visceral (Omentum)	50-59	F
GTEX-113JC-0926-SM-5H114	Esophagus - Muscularis	50-59	F
GTEX-113JC-1026-SM-5H117	Esophagus - Gastroesophageal Junction	50-59	F
GTEX-113JC-1926-SM-5N9GE	Vagina	50-59	F
GTEX-113JC-2226-SM-5EGJG	Uterus	50-59	F
GTEX-113JC-2326-SM-5EQ4E	Skin - Sun Exposed (Lower leg)	50-59	F
GTEX-113JC-2726-SM-5EGIS	Muscle - Skeletal	50-59	F
GTEX-113JC-2826-SM-5EGIT	Pituitary	50-59	F
GTEX-117XS-0001-SM-58Q7J	Whole Blood	60-69	M
GTEX-117XS-0001-SM-5DWSE	Whole Blood	60-69	M
GTEX-117XS-0005-SM-5PNU6	Whole Blood	60-69	M
GTEX-117XS-0008-SM-5Q5DQ	Cells - Transformed fibroblasts	60-69	M
GTEX-117XS-0426-SM-5GZZN	Artery - Aorta	60-69	M
GTEX-117XS-0526-SM-5987Q	Thyroid	60-69	M
GTEX-117XS-0726-SM-5H131	Heart - Atrial Appendage	60-69	M
GTEX-117XS-1926-SM-5GICO	Breast - Mammary Tissue	60-69	M
GTEX-117XS-2026-SM-5GID1	Testis	60-69	M
GTEX-117XS-2226-SM-5GIE1	Colon - Sigmoid	60-69	M
GTEX-117XS-2526-SM-5H11G	Muscle - Skeletal	60-69	M
GTEX-117XS-2726-SM-5N9BL	Skin - Sun Exposed (Lower leg)	60-69	M
GTEX-117XS-2926-SM-5N9BX	Pituitary	60-69	M
GTEX-117XS-3026-SM-5N9CA	Brain - Cortex	60-69	M
GTEX-117XS-3126-SM-5GIDP	Brain - Cerebellum	60-69	M
GTEX-117YW-0003-SM-58Q99	Whole Blood	50-59	M
GTEX-117YW-0003-SM-5DWRD	Whole Blood	50-59	M
GTEX-117YW-0005-SM-5NQ8Z	Whole Blood	50-59	M
GTEX-117YW-0008-SM-5QGRD	Cells - Transformed fibroblasts	50-59	M
GTEX-117YW-0126-SM-5EGGN	Thyroid	50-59	M
GTEX-117YW-0226-SM-5N9CM	Artery - Aorta	50-59	M
GTEX-117YW-0326-SM-5N9CY	Heart - Left Ventricle	50-59	M
GTEX-117YW-0426-SM-5GZZZ	Heart - Atrial Appendage	50-59	M
GTEX-117YW-0526-SM-5H11C	Lung	50-59	M
GTEX-117YW-0826-SM-5H11O	Adipose - Visceral (Omentum)	50-59	M
GTEX-117YW-1426-SM-5EGGO	Prostate	50-59	M
GTEX-117YW-1526-SM-5EGGP	Testis	50-59	M
GTEX-117YW-1826-SM-5PNY5	Colon - Transverse	50-59	M
GTEX-117YW-1926-SM-5H121	Esophagus - Mucosa	50-59	M
GTEX-117YW-2026-SM-5N9BH	Esophagus - Muscularis	50-59	M
GTEX-117YW-2226-SM-5N9DB	Stomach	50-59	M
GTEX-117YW-2426-SM-5Q5AE	Muscle - Skeletal	50-59	M
GTEX-117YW-2626-SM-5GZZH	Skin - Sun Exposed (Lower leg)	50-59	M
GTEX-117YW-2726-SM-5GZZT	Artery - Tibial	50-59	M
GTEX-117YW-2826-SM-5H116	Pituitary	50-59	M
GTEX-117YW-2926-SM-5GIEQ	Brain - Cortex	50-59	M
GTEX-117YX-0001-SM-5DU4O	Whole Blood	50-59	M
GTEX-117YX-0126-SM-5EGH5	Adrenal Gland	50-59	M
GTEX-117YX-0226-SM-5EGH6	Pancreas	50-59	M
GTEX-117YX-0326-SM-5GICL	Small Intestine - Terminal Ileum	50-59	M
GTEX-117YX-0526-SM-5EGJH	Colon - Sigmoid	50-59	M
GTEX-117YX-0626-SM-5EGJI	Heart - Atrial Appendage	50-59	M
GTEX-117YX-0726-SM-5GIET	Adipose - Visceral (Omentum)	50-59	M
GTEX-117YX-0826-SM-5H11J	Colon - Transverse	50-59	M
GTEX-117YX-1026-SM-5H11V	Stomach	50-59	M
GTEX-117YX-1126-SM-5H128	Heart - Left Ventricle	50-59	M
GTEX-117YX-1226-SM-5H11S	Thyroid	50-59	M
GTEX-117YX-1326-SM-5H125	Lung	50-59	M
GTEX-117YX-1426-SM-5H12H	Breast - Mammary Tissue	50-59	M
GTEX-117YX-1526-SM-5H12T	Prostate	50-59	M
GTEX-117YX-1626-SM-5GZZG	Esophagus - Mucosa	50-59	M
GTEX-117YX-1726-SM-5GZZS	Artery - Coronary	50-59	M
GTEX-117YX-1826-SM-5H12K	Esophagus - Muscularis	50-59	M
GTEX-117YX-1926-SM-5GIEC	Skin - Not Sun Exposed (Suprapubic)	50-59	M
GTEX-117YX-2026-SM-5GIEF	Testis	50-59	M
GTEX-117YX-2126-SM-5GIEL	Spleen	50-59	M
GTEX-117YX-2226-SM-5EGJJ	Adipose - Subcutaneous	50-59	M
GTEX-117YX-2326-SM-5H12W	Skin - Sun Exposed (Lower leg)	50-59	M
GTEX-117YX-2426-SM-5GZZJ	Nerve - Tibial	50-59	M
GTEX-117YX-2526-SM-5EQ4Q	Muscle - Skeletal	50-59	M
GTEX-117YX-2626-SM-5EQ53	Artery - Tibial	50-59	M
GTEX-1192W-0001-SM-58Q7T	Whole Blood	60-69	M
GTEX-1192W-0001-SM-5DWSN	Whole Blood	60-69	M
GTEX-1192W-0005-SM-5NQBQ	Whole Blood	60-69	M
GTEX-1192W-0008-SM-5QGRE	Cells - Transformed fibroblasts	60-69	M
GTEX-1192W-0126-SM-5EGGS	Thyroid	60-69	M
GTEX-1192W-0226-SM-5EGGT	Heart - Atrial Appendage	60-69	M
GTEX-1192W-0826-SM-5EGHE	Esophagus - Gastroesophageal Junction	60-69	M
GTEX-1192W-2326-SM-5N9BS	Testis	60-69	M
GTEX-1192W-2626-SM-5Q5AF	Skin - Sun Exposed (Lower leg)	60-69	M
GTEX-1192W-3026-SM-5GZZV	Pituitary	60-69	M
GTEX-1192X-0004-SM-58Q7Q	Whole Blood	50-59	M
GTEX-1192X-0004-SM-5DWSK	Whole Blood	50-59	M
GTEX-1192X-0005-SM-5NQC3	Whole Blood	50-59	M
GTEX-1192X-0008-SM-5Q5B7	Cells - Transformed fibroblasts	50-59	M
GTEX-1192X-0226-SM-5H12D	Skin - Sun Exposed (Lower leg)	50-59	M
GTEX-1192X-0326-SM-5H11U	Nerve - Tibial	50-59	M
GTEX-1192X-0426-SM-5GIEE	Muscle - Skeletal	50-59	M
GTEX-1192X-0726-SM-5987R	Heart - Atrial Appendage	50-59	M
GTEX-1192X-1026-SM-5H12P	Liver	50-59	M
GTEX-1192X-1126-SM-5EGGU	Thyroid	50-59	M
GTEX-1192X-1526-SM-5H11I	Adipose - Visceral (Omentum)	50-59	M
GTEX-1192X-1826-SM-5GIE2	Esophagus - Gastroesophageal Junction	50-59	M
GTEX-1192X-2326-SM-5987X	Breast - Mammary Tissue	50-59	M
GTEX-1192X-2526-SM-59868	Small Intestine - Terminal Ileum	50-59	M
GTEX-1192X-2726-SM-5N9DN	Skin - Not Sun Exposed (Suprapubic)	50-59	M
GTEX-1192X-2926-SM-5N9BA	Minor Salivary Gland	50-59	M
GTEX-1192X-3026-SM-5N9BM	Pituitary	50-59	M
GTEX-1192X-3126-SM-5N9BY	Brain - Cortex	50-59	M
GTEX-1192X-3226-SM-5987D	Brain - Cerebellum	50-59	M
GTEX-11DXW-0003-SM-58Q7S	Whole Blood	40-49	M
GTEX-11DXW-0003-SM-5DWSM	Whole Blood	40-49	M
GTEX-11DXW-0006-SM-5NQ7Y	Whole Blood	40-49	M
GTEX-11DXW-0008-SM-5Q59V	Cells - Transformed fibroblasts	40-49	M
GTEX-11DXW-0226-SM-5H122	Skin - Sun Exposed (Lower leg)	40-49	M
GTEX-11DXW-0326-SM-5H11W	Adipose - Subcutaneous	40-49	M
GTEX-11DXW-0426-SM-5H12E	Nerve - Tibial	40-49	M
GTEX-11DXW-0526-SM-5H127	Artery - Tibial	40-49	M
GTEX-11DXW-0626-SM-5N9ER	Breast - Mammary Tissue	40-49	M
GTEX-11DXW-0726-SM-5H12J	Muscle - Skeletal	40-49	M
GTEX-11DXW-0826-SM-5H118	Skin - Not Sun Exposed (Suprapubic)	40-49	M
GTEX-11DXW-1026-SM-5H11K	Brain - Cerebellum	40-49	M
GTEX-11DXW-1126-SM-5H12Q	Brain - Cortex	40-49	M
GTEX-11DXW-1226-SM-5H133	Pituitary	40-49	M
GTEX-11DXX-0004-SM-58Q7I	Whole Blood	60-69	F
GTEX-11DXX-0004-SM-5DWSD	Whole Blood	60-69	F
GTEX-11DXX-0005-SM-5NQ8B	Whole Blood	60-69	F
GTEX-11DXX-0008-SM-5Q5B8	Cells - Transformed fibroblasts	60-69	F
GTEX-11DXX-0126-SM-5EGH7	Adrenal Gland	60-69	F
GTEX-11DXX-0226-SM-5P9HL	Thyroid	60-69	F
GTEX-11DXX-0326-SM-5PNWC	Heart - Left Ventricle	60-69	F
GTEX-11DXX-0426-SM-5EQ5F	Artery - Aorta	60-69	F
GTEX-11DXX-0526-SM-5PNVR	Heart - Atrial Appendage	60-69	F
GTEX-11DXX-0626-SM-5Q5AG	Lung	60-69	F
GTEX-11DXX-0726-SM-5H12X	Spleen	60-69	F
GTEX-11DXX-0826-SM-5GZZP	Artery - Coronary	60-69	F
GTEX-11DXX-0926-SM-5H112	Pancreas	60-69	F
GTEX-11DXX-1026-SM-5H11E	Esophagus - Muscularis	60-69	F
GTEX-11DXX-1126-SM-5GZZK	Esophagus - Mucosa	60-69	F
GTEX-11DXX-1226-SM-5GICD	Esophagus - Gastroesophageal Junction	60-69	F
GTEX-11DXX-1326-SM-5GIDZ	Stomach	60-69	F
GTEX-11DXX-1426-SM-5GIDU	Ovary	60-69	F
GTEX-11DXX-1526-SM-5H115	Uterus	60-69	F
GTEX-11DXX-1626-SM-5H11H	Small Intestine - Terminal Ileum	60-69	F
GTEX-11DXX-1726-SM-5H11T	Vagina	60-69	F
GTEX-11DXX-1826-SM-5H126	Colon - Transverse	60-69	F
GTEX-11DXX-1926-SM-5EGJK	Colon - Sigmoid	60-69	F
GTEX-11DXX-2026-SM-5EGJL	Adipose - Visceral (Omentum)	60-69	F
GTEX-11DXX-2126-SM-5PNYR	Skin - Not Sun Exposed (Suprapubic)	60-69	F
GTEX-11DXX-2326-SM-5Q5A2	Adipose - Subcutaneous	60-69	F
GTEX-11DXX-2426-SM-5GZZW	Skin - Sun Exposed (Lower leg)	60-69	F
GTEX-11DXX-2526-SM-5H119	Nerve - Tibial	60-69	F
GTEX-11DXX-2626-SM-5Q5A3	Artery - Tibial	60-69	F
GTEX-11DXX-2726-SM-5PNXO	Muscle - Skeletal	60-69	F
GTEX-11DXY-0004-SM-58Q7Z	Whole Blood	60-69	M
GTEX-11DXY-0004-SM-5DWST	Whole Blood	60-69	M
GTEX-11DXY-0006-SM-5NQ8N	Whole Blood	60-69	M
GTEX-11DXY-0008-SM-5QGR4	Cells - Transformed fibroblasts	60-69	M
GTEX-11DXY-0126-SM-5H11Q	Skin - Not Sun Exposed (Suprapubic)	60-69	M
GTEX-11DXY-0226-SM-5H123	Testis	60-69	M
GTEX-11DXY-0326-SM-5H12F	Adipose - Visceral (Omentum)	60-69	M
GTEX-11DXY-0426-SM-5H12R	Thyroid	60-69	M
GTEX-11DXY-0526-SM-5EGGQ	Liver	60-69	M
GTEX-11DXY-0826-SM-5EGGR	Heart - Left Ventricle	60-69	M
GTEX-11DXY-1026-SM-5987V	Heart - Atrial Appendage	60-69	M
GTEX-11DXY-1126-SM-5987W	Artery - Coronary	60-69	M
GTEX-11DXY-1326-SM-5987Z	Esophagus - Gastroesophageal Junction	60-69	M
GTEX-11DXY-1426-SM-5N9CN	Esophagus - Mucosa	60-69	M
GTEX-11DXY-1526-SM-5H129	Esophagus - Muscularis	60-69	M
GTEX-11DXY-1626-SM-5H12L	Adrenal Gland	60-69	M
GTEX-11DXY-2026-SM-5N9CZ	Colon - Sigmoid	60-69	M
GTEX-11DXY-2326-SM-5GICW	Breast - Mammary Tissue	60-69	M
GTEX-11DXY-2626-SM-5GIE7	Skin - Sun Exposed (Lower leg)	60-69	M
GTEX-11DXY-2726-SM-5GID2	Muscle - Skeletal	60-69	M
GTEX-11DXY-3026-SM-5N9CB	Pituitary	60-69	M
GTEX-11DXY-3126-SM-5N9BT	Brain - Cerebellum	60-69	M
GTEX-11DXY-3226-SM-5GIDE	Brain - Cortex	60-69	M
GTEX-11DXZ-0003-SM-58Q7X	Whole Blood	50-59	M
GTEX-11DXZ-0003-SM-5DWSR	Whole Blood	50-59	M
GTEX-11DXZ-0006-SM-5LZZH	Whole Blood	50-59	M
GTEX-11DXZ-0126-SM-5EGGY	Liver	50-59	M
GTEX-11DXZ-0226-SM-5EGGZ	Adrenal Gland	50-59	M
GTEX-11DXZ-0326-SM-5EGH1	Heart - Atrial Appendage	50-59	M
GTEX-11DXZ-0426-SM-5987Y	Artery - Aorta	50-59	M
GTEX-11DXZ-0526-SM-5GU7J	Artery - Coronary	50-59	M
GTEX-11DXZ-0626-SM-5GU77	Heart - Left Ventricle	50-59	M
GTEX-11DXZ-0726-SM-5N9C4	Lung	50-59	M
GTEX-11DXZ-0926-SM-5N9CG	Thyroid	50-59	M
GTEX-11DXZ-1026-SM-5N9D5	Esophagus - Gastroesophageal Junction	50-59	M
GTEX-11DXZ-1226-SM-5H11L	Esophagus - Mucosa	50-59	M
GTEX-11DXZ-1326-SM-5H11X	Small Intestine - Terminal Ileum	50-59	M
GTEX-11DXZ-1426-SM-5H12A	Adipose - Visceral (Omentum)	50-59	M
GTEX-11DXZ-1626-SM-5GIDI	Colon - Sigmoid	50-59	M
GTEX-11DXZ-1726-SM-5H12M	Colon - Transverse	50-59	M
GTEX-11DXZ-1826-SM-5H12Y	Prostate	50-59	M
GTEX-11DXZ-1926-SM-5GZZL	Breast - Mammary Tissue	50-59	M
GTEX-11DXZ-2026-SM-5987S	Skin - Not Sun Exposed (Suprapubic)	50-59	M
GTEX-11DXZ-2126-SM-59881	Testis	50-59	M
GTEX-11DXZ-2226-SM-5EGH2	Adipose - Subcutaneous	50-59	M
GTEX-11DXZ-2326-SM-5EGGV	Skin - Sun Exposed (Lower leg)	50-59	M
GTEX-11DXZ-2426-SM-5N9DT	Muscle - Skeletal	50-59	M
GTEX-11DXZ-2526-SM-5N9BG	Nerve - Tibial	50-59	M
GTEX-11DXZ-2626-SM-59882	Artery - Tibial	50-59	M
GTEX-11DYG-0004-SM-58Q7K	Whole Blood	60-69	M
GTEX-11DYG-0004-SM-5DWSF	Whole Blood	60-69	M
GTEX-11DYG-0006-SM-5NQB2	Whole Blood	60-69	M
GTEX-11DYG-0008-SM-5QGR5	Cells - Transformed fibroblasts	60-69	M
GTEX-11DYG-0126-SM-59883	Skin - Sun Exposed (Lower leg)	60-69	M
GTEX-11DYG-0426-SM-5987J	Nerve - Tibial	60-69	M
GTEX-11DYG-0826-SM-5N9GH	Thyroid	60-69	M
GTEX-11DYG-0926-SM-5EGGW	Artery - Coronary	60-69	M
GTEX-11DYG-1026-SM-5A5JQ	Heart - Atrial Appendage	60-69	M
GTEX-11DYG-1226-SM-5N9DC	Artery - Aorta	60-69	M
GTEX-11DYG-1326-SM-5N9DO	Esophagus - Mucosa	60-69	M
GTEX-11DYG-1426-SM-5A5JR	Esophagus - Muscularis	60-69	M
GTEX-11DYG-1526-SM-5A5JS	Skin - Not Sun Exposed (Suprapubic)	60-69	M
GTEX-11DYG-1926-SM-5H12I	Esophagus - Gastroesophageal Junction	60-69	M
GTEX-11DYG-2026-SM-5EGGX	Adipose - Visceral (Omentum)	60-69	M
GTEX-11DYG-2526-SM-5N9BB	Prostate	60-69	M
GTEX-11DYG-2926-SM-5H132	Brain - Cerebellum	60-69	M
GTEX-11DYG-3126-SM-5A5L6	Pituitary	60-69	M
GTEX-11DZ1-0002-SM-58Q7R	Whole Blood	50-59	M
GTEX-11DZ1-0002-SM-5DWSL	Whole Blood	50-59	M
GTEX-11DZ1-0008-SM-5QGR3	Cells - Transformed fibroblasts	50-59	M
GTEX-11DZ1-0126-SM-5985Q	Skin - Sun Exposed (Lower leg)	50-59	M
GTEX-11DZ1-0226-SM-5A5KF	Adipose - Subcutaneous	50-59	M
GTEX-11DZ1-0326-SM-5N9BN	Breast - Mammary Tissue	50-59	M
GTEX-11DZ1-0426-SM-5H11A	Lung	50-59	M
GTEX-11DZ1-0926-SM-5EQ5R	Muscle - Skeletal	50-59	M
