	Confirmed	Tentative	RMSE Conf	RSq Conf	RMSE Tent	RSq Tent
Brain-Cerebellum	ENSG00000173372.12, ENSG00000117616.13, ENSG00000171502.10, ENSG00000271277.1, ENSG00000143549.15, ENSG00000162704.11, ENSG00000143429.5, ENSG00000269707.1, ENSG00000109689.10, ENSG00000138759.13, ENSG00000151718.11, ENSG00000134986.9, ENSG00000226070.1, ENSG00000155111.10, ENSG00000173852.9, ENSG00000244701.1, ENSG00000147533.12, ENSG00000095203.10, ENSG00000070159.9, ENSG00000107821.10, ENSG00000166086.8, ENSG00000165899.6, ENSG00000123201.10, ENSG00000088387.13, ENSG00000139899.6, ENSG00000151327.8, ENSG00000186369.5, ENSG00000103591.8, ENSG00000132613.10, ENSG00000166446.10, ENSG00000260923.1, ENSG00000108578.10, ENSG00000108309.8, ENSG00000181513.10, ENSG00000197256.6, ENSG00000004776.7, ENSG00000100302.6, ENSG00000155659.10	ENSG00000106080.6, ENSG00000230383.1	10.8915239565205	0.00105015498559682	11.0029983232557	-0.0195029229605674
Brain-Cortex	ENSG00000230699.2, ENSG00000157191.15, ENSG00000162456.5, ENSG00000203685.5, ENSG00000238243.2, ENSG00000084731.9, ENSG00000168890.9, ENSG00000228507.1, ENSG00000144583.4, ENSG00000135912.6, ENSG00000157087.12, ENSG00000136518.12, ENSG00000273238.1, ENSG00000174145.7, ENSG00000197536.6, ENSG00000048140.13, ENSG00000137198.5, ENSG00000230873.4, ENSG00000272841.1, ENSG00000273281.1, ENSG00000054148.13, ENSG00000154478.3, ENSG00000151650.7, ENSG00000213713.3, ENSG00000127325.14, ENSG00000214222.2, ENSG00000165801.5, ENSG00000125384.6, ENSG00000119655.4, ENSG00000166963.8, ENSG00000174628.12, ENSG00000158486.9, ENSG00000140750.12, ENSG00000270466.1, ENSG00000103187.6, ENSG00000176974.13, ENSG00000198242.9, ENSG00000108262.11, ENSG00000205021.9, ENSG00000161847.9, ENSG00000102575.6, ENSG00000105647.10, ENSG00000131042.9, ENSG00000198131.9, ENSG00000171873.6, ENSG00000101350.6, ENSG00000159228.8, ENSG00000221890.2	ENSG00000134072.6, ENSG00000196422.6, ENSG00000010610.5, ENSG00000135116.5, ENSG00000165929.8, ENSG00000099364.12	10.8484758427079	0.0086352313679428	11.9462722533442	-0.202156044224366
Brain-FrontalCortex(BA9)	ENSG00000224387.1, ENSG00000264384.1, ENSG00000116667.8, ENSG00000116852.10, ENSG00000203685.5, ENSG00000198104.2, ENSG00000114999.7, ENSG00000109255.7, ENSG00000137198.5, ENSG00000239815.1, ENSG00000104689.5, ENSG00000183729.3, ENSG00000165084.11, ENSG00000261710.1, ENSG00000108100.13, ENSG00000167994.7, ENSG00000150672.12, ENSG00000133639.3, ENSG00000139874.5, ENSG00000259767.1, ENSG00000169715.10, ENSG00000261514.1, ENSG00000267714.1, ENSG00000129450.4	NA	11.4779672811797	-0.0401952157812541	NA	NA
Brain-Hippocampus	ENSG00000117395.6, ENSG00000264834.1, ENSG00000116752.5, ENSG00000116748.15, ENSG00000186364.7, ENSG00000163565.14, ENSG00000231312.2, ENSG00000239405.1, ENSG00000163781.8, ENSG00000205565.6, ENSG00000251293.1, ENSG00000164616.10, ENSG00000146223.10, ENSG00000122674.8, ENSG00000184903.5, ENSG00000230383.1, ENSG00000154582.12, ENSG00000233111.1, ENSG00000204818.3, ENSG00000185745.8, ENSG00000110077.10, ENSG00000139233.2, ENSG00000151135.5, ENSG00000100916.9, ENSG00000100568.6, ENSG00000064726.5, ENSG00000166503.4, ENSG00000006327.9, ENSG00000180209.7, ENSG00000179958.4, ENSG00000140798.11, ENSG00000255986.2, ENSG00000237575.4, ENSG00000142303.9, ENSG00000167232.9, ENSG00000169021.4, ENSG00000177464.4, ENSG00000126458.3, ENSG00000125861.10, ENSG00000155313.11, ENSG00000272798.1	ENSG00000084676.11, ENSG00000163412.8, ENSG00000074211.9, ENSG00000224223.1, ENSG00000087502.13, ENSG00000234608.3, ENSG00000180957.13	10.1158085440832	0.162757961359159	10.7831774541242	0.0486434144870907
Brain-Nucleusaccumbens(basalganglia)	ENSG00000066279.12, ENSG00000163362.6, ENSG00000180287.12, ENSG00000228541.1, ENSG00000144057.11, ENSG00000174599.4, ENSG00000106624.4, ENSG00000198822.6, ENSG00000165507.8, ENSG00000224023.6, ENSG00000110077.10, ENSG00000237176.3, ENSG00000238007.1, ENSG00000147206.12	NA	10.7977039123409	-0.0801758553015604	NA	NA
Brain-Hypothalamus	ENSG00000154511.7, ENSG00000154429.6, ENSG00000179796.7, ENSG00000172765.12, ENSG00000074211.9, ENSG00000168785.3, ENSG00000260641.1, ENSG00000249621.1, ENSG00000040275.12, ENSG00000136238.13, ENSG00000105929.11, ENSG00000154589.2, ENSG00000177570.9, ENSG00000104518.6, ENSG00000269994.1, ENSG00000148153.9, ENSG00000232462.1, ENSG00000233690.1, ENSG00000151650.7, ENSG00000054965.6, ENSG00000137692.7, ENSG00000149573.4, ENSG00000139832.3, ENSG00000169385.2, ENSG00000212380.1, ENSG00000166451.9, ENSG00000062725.5, ENSG00000017797.7, ENSG00000267756.1, ENSG00000089327.10, ENSG00000180061.5, ENSG00000233508.1, ENSG00000156299.8, ENSG00000102265.7, ENSG00000215274.5, ENSG00000198930.8	ENSG00000157103.6, ENSG00000242675.1, ENSG00000173674.6, ENSG00000234062.3	12.271661219123	-0.336776678929439	11.9476057183153	-0.26710880815626
Brain-Putamen(basalganglia)	ENSG00000220804.4, ENSG00000010319.2, ENSG00000121858.6, ENSG00000248208.1, ENSG00000112902.7, ENSG00000064652.6, ENSG00000240583.6, ENSG00000171320.10, ENSG00000237857.2, ENSG00000254759.1, ENSG00000156076.5, ENSG00000103710.6, ENSG00000249214.2, ENSG00000125144.9, ENSG00000265313.1, ENSG00000188064.5	ENSG00000124762.9, ENSG00000164604.8, ENSG00000085265.6	10.4928139258241	-0.0243760570512959	10.6801144115872	-0.0612734182447925
Brain-Substantianigra	ENSG00000228852.2, ENSG00000171943.7, ENSG00000081721.7, ENSG00000127074.10, ENSG00000203667.5, ENSG00000170634.8, ENSG00000144668.7, ENSG00000181061.9, ENSG00000229729.3, ENSG00000179021.5, ENSG00000121552.3, ENSG00000176597.7, ENSG00000111846.11, ENSG00000212802.3, ENSG00000174353.13, ENSG00000270157.1, ENSG00000246528.3, ENSG00000165443.7, ENSG00000130592.9, ENSG00000137642.8, ENSG00000154144.8, ENSG00000219410.4, ENSG00000139344.3, ENSG00000262619.1, ENSG00000170919.11, ENSG00000231876.3, ENSG00000267350.2, ENSG00000100393.9	ENSG00000163877.9, ENSG00000219201.3	13.4615158297845	-0.164936911371323	13.0802097391982	-0.0998764152805252
Breast-MammaryTissue	ENSG00000222112.1, ENSG00000172260.9, ENSG00000250116.2, ENSG00000236558.2, ENSG00000132313.10, ENSG00000270681.1, ENSG00000251495.1, ENSG00000213588.4, ENSG00000112559.9, ENSG00000220867.1, ENSG00000104756.11, ENSG00000165507.8, ENSG00000159063.8, ENSG00000111639.3, ENSG00000166823.5, ENSG00000238917.1, ENSG00000011295.11, ENSG00000073536.13, ENSG00000174100.5, ENSG00000267361.1, ENSG00000125648.10, ENSG00000267710.1, ENSG00000185808.9, ENSG00000234252.1, ENSG00000100285.9, ENSG00000128311.9, ENSG00000100227.13, ENSG00000213397.6	ENSG00000121904.13, ENSG00000144642.16, ENSG00000059691.7, ENSG00000263412.1, ENSG00000265136.1	11.5066409417025	0.0780071132365955	11.7285283950384	0.0421059074377506
Cells-EBV-transformedlymphocytes	ENSG00000238137.2, ENSG00000236047.1, ENSG00000163110.10, ENSG00000253457.1, ENSG00000224596.3, ENSG00000253347.1, ENSG00000267348.2, ENSG00000063180.4	ENSG00000169957.8	13.2128405256816	0.11707094145838	13.3097696858634	0.10406912184
Cervix-Endocervix	NA	NA	NA	NA	NA	NA
Cells-Transformedfibroblasts	ENSG00000177144.5, ENSG00000228560.1, ENSG00000117601.9, ENSG00000116141.11, ENSG00000239690.2, ENSG00000236445.2, ENSG00000232112.3, ENSG00000240137.1, ENSG00000174808.7, ENSG00000218565.2, ENSG00000160813.2, ENSG00000244306.5, ENSG00000254912.2, ENSG00000202077.1, ENSG00000080031.5, ENSG00000267730.1, ENSG00000100285.9	ENSG00000218336.3	13.4674131830234	-0.147799025047854	13.9594861076461	-0.233208030289612
Esophagus-GastroesophagealJunction	ENSG00000163016.5, ENSG00000223642.3, ENSG00000271924.1, ENSG00000071967.7, ENSG00000152056.12, ENSG00000244681.1, ENSG00000164463.8, ENSG00000112319.13, ENSG00000269929.1, ENSG00000228061.1, ENSG00000215417.6, ENSG00000139910.15, ENSG00000198807.8, ENSG00000169330.4, ENSG00000214353.3, ENSG00000167671.7, ENSG00000213988.5, ENSG00000268006.1, ENSG00000119574.8	ENSG00000269930.1, ENSG00000232852.1	11.826790052457	-0.0143889335246294	11.9699768616421	-0.0391000117761772
Colon-Sigmoid	ENSG00000127463.9, ENSG00000188822.6, ENSG00000153187.12, ENSG00000143870.8, ENSG00000269976.1, ENSG00000013441.11, ENSG00000118246.9, ENSG00000198590.7, ENSG00000150753.7, ENSG00000244694.3, ENSG00000243433.1, ENSG00000136997.10, ENSG00000227821.1, ENSG00000075826.12, ENSG00000184956.11, ENSG00000255159.1, ENSG00000179119.10, ENSG00000186166.4, ENSG00000135392.11, ENSG00000166860.2, ENSG00000111412.4, ENSG00000150401.10, ENSG00000155463.8, ENSG00000214946.9, ENSG00000161654.5, ENSG00000108848.11, ENSG00000167447.8, ENSG00000154080.8, ENSG00000083812.7, ENSG00000101266.12, ENSG00000101407.8, ENSG00000273451.1, ENSG00000267913.1, ENSG00000273300.1, ENSG00000205755.6, ENSG00000131080.10	ENSG00000113161.11	12.9430118049727	-0.0561141484622237	12.764786121294	-0.0272289515106558
FallopianTube	NA	NA	NA	NA	NA	NA
Esophagus-Mucosa	ENSG00000143947.8, ENSG00000116035.2, ENSG00000243290.1, ENSG00000269975.1, ENSG00000164056.6, ENSG00000112852.4, ENSG00000081818.1, ENSG00000196963.2, ENSG00000177839.4, ENSG00000120328.4, ENSG00000204435.9, ENSG00000244694.3, ENSG00000230910.2, ENSG00000112319.13, ENSG00000146674.10, ENSG00000104725.9, ENSG00000180543.3, ENSG00000147889.12, ENSG00000198963.6, ENSG00000110852.4, ENSG00000048540.10, ENSG00000255864.1, ENSG00000205476.4, ENSG00000188536.8, ENSG00000260047.1, ENSG00000214617.5, ENSG00000214614.2, ENSG00000205452.4, ENSG00000198555.7, ENSG00000261217.2, ENSG00000091592.11, ENSG00000254982.1, ENSG00000273352.1, ENSG00000161265.10, ENSG00000124134.4, ENSG00000211653.2, ENSG00000100285.9, ENSG00000008735.10, ENSG00000158578.14, ENSG00000241343.5	ENSG00000242267.2, ENSG00000185000.5	10.8546067754237	0.308068683241388	10.9135958695218	0.30052768055623
Kidney-Cortex	ENSG00000268632.1, ENSG00000103260.4	NA	19.0380515270452	-0.849991967851557	NA	NA
Colon-Transverse	ENSG00000143368.9, ENSG00000272716.1, ENSG00000115548.12, ENSG00000225808.1, ENSG00000164047.3, ENSG00000168779.15, ENSG00000245067.2, ENSG00000254531.1, ENSG00000186493.7, ENSG00000177839.4, ENSG00000244694.3, ENSG00000118418.10, ENSG00000112319.13, ENSG00000153721.13, ENSG00000246366.2, ENSG00000147655.6, ENSG00000267834.1, ENSG00000130595.12, ENSG00000258568.1, ENSG00000167977.4, ENSG00000266066.1, ENSG00000263731.1, ENSG00000267079.1, ENSG00000265752.2, ENSG00000268751.1, ENSG00000099917.13	ENSG00000112984.7, ENSG00000156750.7	13.2215638580101	-0.202025143949893	13.1751085782309	-0.19359311358839
Heart-AtrialAppendage	ENSG00000272078.1, ENSG00000269621.1, ENSG00000115267.5, ENSG00000244681.1, ENSG00000074211.9, ENSG00000163995.14, ENSG00000170448.7, ENSG00000164175.10, ENSG00000244694.3, ENSG00000236609.3, ENSG00000229694.2, ENSG00000198035.9, ENSG00000236958.1, ENSG00000138193.10, ENSG00000033327.8, ENSG00000198542.9, ENSG00000119681.7, ENSG00000140406.2, ENSG00000267336.1, ENSG00000132003.5, ENSG00000130513.6, ENSG00000105664.6, ENSG00000101457.8, ENSG00000177692.7, ENSG00000131080.10, ENSG00000180879.9	ENSG00000198952.7, ENSG00000116857.12, ENSG00000147145.8	10.5182459060271	0.157411552843554	10.1497807306437	0.215411062326314
Heart-LeftVentricle	ENSG00000162441.7, ENSG00000127125.7, ENSG00000137996.8, ENSG00000230280.2, ENSG00000138430.11, ENSG00000115540.10, ENSG00000160124.5, ENSG00000188582.4, ENSG00000164024.7, ENSG00000145781.4, ENSG00000113575.5, ENSG00000185955.4, ENSG00000171033.8, ENSG00000147889.12, ENSG00000229273.1, ENSG00000148925.6, ENSG00000134780.5, ENSG00000173156.2, ENSG00000047621.7, ENSG00000161835.6, ENSG00000176871.4, ENSG00000242173.4, ENSG00000108946.10, ENSG00000260001.2, ENSG00000128000.11, ENSG00000126953.5	ENSG00000109103.7	11.9333731527548	-0.0125075229032458	11.8082537714708	0.00861310769897325
MinorSalivaryGland	ENSG00000120332.11, ENSG00000170382.7, ENSG00000198835.3, ENSG00000233718.1, ENSG00000224559.2, ENSG00000114378.12, ENSG00000196542.4, ENSG00000013297.6, ENSG00000168785.3, ENSG00000164099.3, ENSG00000112164.5, ENSG00000240685.1, ENSG00000137033.7, ENSG00000198963.6, ENSG00000272734.1, ENSG00000261011.1, ENSG00000189398.5, ENSG00000197580.7, ENSG00000119686.5, ENSG00000206052.6, ENSG00000171443.6, ENSG00000078596.6, ENSG00000000005.5	ENSG00000138735.11	14.8784292372837	-0.22302572689977	15.1236672560607	-0.263675752884217
Liver	ENSG00000224680.4, ENSG00000162434.7, ENSG00000215784.4, ENSG00000118193.7, ENSG00000196550.6, ENSG00000181450.13, ENSG00000121152.5, ENSG00000169679.10, ENSG00000163535.13, ENSG00000123485.7, ENSG00000164045.7, ENSG00000145386.5, ENSG00000218336.3, ENSG00000249138.1, ENSG00000250337.1, ENSG00000072571.15, ENSG00000169258.6, ENSG00000176907.3, ENSG00000146670.5, ENSG00000197136.4, ENSG00000270179.1, ENSG00000257384.1, ENSG00000126787.8, ENSG00000104081.9, ENSG00000102921.3, ENSG00000039523.13, ENSG00000100034.9, ENSG00000100285.9	ENSG00000223779.4, ENSG00000123416.11	10.8840926334373	-0.0365553839658854	10.3538791079332	0.0619753899101558
Ovary	ENSG00000256049.2, ENSG00000117148.6, ENSG00000143322.15, ENSG00000143476.13, ENSG00000116996.5, ENSG00000228784.3, ENSG00000119771.10, ENSG00000187605.11, ENSG00000163083.5, ENSG00000179837.6, ENSG00000153266.8, ENSG00000151276.19, ENSG00000214324.1, ENSG00000163584.13, ENSG00000182223.7, ENSG00000145242.9, ENSG00000250846.2, ENSG00000250584.2, ENSG00000151882.7, ENSG00000152670.14, ENSG00000205089.3, ENSG00000155850.7, ENSG00000112319.13, ENSG00000164631.14, ENSG00000157240.2, ENSG00000091137.7, ENSG00000128573.18, ENSG00000106410.10, ENSG00000164900.4, ENSG00000196584.2, ENSG00000255310.2, ENSG00000184608.4, ENSG00000147439.7, ENSG00000147509.9, ENSG00000008988.5, ENSG00000181690.3, ENSG00000246528.3, ENSG00000079112.5, ENSG00000169155.5, ENSG00000107443.11, ENSG00000010292.8, ENSG00000048540.10, ENSG00000255794.2, ENSG00000179399.9, ENSG00000126787.8, ENSG00000100721.6, ENSG00000166923.6, ENSG00000183324.6, ENSG00000080644.11, ENSG00000174327.6, ENSG00000108244.12, ENSG00000136451.4, ENSG00000154655.10, ENSG00000197766.3, ENSG00000185361.4, ENSG00000269444.1, ENSG00000065989.11, ENSG00000131351.10, ENSG00000269416.1, ENSG00000167634.8, ENSG00000160505.11, ENSG00000171487.10, ENSG00000184571.9, ENSG00000235209.1, ENSG00000102174.7, ENSG00000235189.1	ENSG00000255556.2, ENSG00000229414.2, ENSG00000110108.5, ENSG00000182521.5, ENSG00000156853.7, ENSG00000136485.10, ENSG00000173572.7	11.1490272995668	0.208772841819619	11.4345595448983	0.16772641957943
